"","V1","V2","type"
"1","The Nights Watch","Stark",1
"2","Stark","Greyjoy",2
"3","Stark","Arryn",1
"4","Stark","Lannister",2
"5","Stark","Baelish",1
"6","Stark","Laddy Melisandre",2
"7","Greyjoy","Yara and Theon",2
"8","Tully","Lannister",1
"9","Arryn","Lannister",2
"10","Arryn","Baelish",1
"11","Lannister","Tyrell",2
"12","Lannister","Martell",2
"13","Lannister","Targaryen",1
"14","Lannister","Baelish",2
"15","Lannister","Iron Bank",2
"16","Lannister","Yara and Theon",2
"17","Tyrell","Targaryen",1
"18","Tyrell","Baelish",1
"19","Targaryen","Yara and Theon",1
