"","V1","V2","type"
"1","The Nights Watch","Stannis",1
"2","The Nights Watch","Laddy Melisandre",1
"3","Stark","Greyjoy",2
"4","Stark","Tully",1
"5","Stark","Arryn",1
"6","Stark","Lannister",2
"7","Stark","Baelish",1
"8","Stark","Stannis",2
"9","Stark","Frey",2
"10","Stark","Bolton",1
"11","Greyjoy","Stannis",2
"12","Greyjoy","Bolton",2
"13","Tully","Lannister",2
"14","Tully","Frey",1
"15","Arryn","Lannister",2
"16","Arryn","Baelish",1
"17","Lannister","Tyrell",2
"18","Lannister","Martell",1
"19","Lannister","Baelish",2
"20","Lannister","Stannis",2
"21","Lannister","Frey",1
"22","Lannister","Bolton",2
"23","Lannister","Iron Bank",2
"24","Lannister","the Sparrows",1
"25","Tyrell","Baelish",1
"26","Tyrell","Stannis",2
"27","Tyrell","the Sparrows",2
"28","Baelish","Bolton",1
"29","Stannis","Laddy Melisandre",1
"30","Stannis","Iron Bank",1
"31","Frey","Bolton",1
