"","V1","V2","type"
"1","The Nights Watch","Stark",1
"2","Stark","Greyjoy",2
"3","Stark","Tully",1
"4","Stark","Arryn",1
"5","Stark","Lannister",2
"6","Stark","Baelish",1
"7","Stark","Laddy Melisandre",1
"8","Stark","Frey",2
"9","Stark","Bolton",2
"10","Greyjoy","Bolton",2
"11","Greyjoy","Yara and Theon",2
"12","Tully","Lannister",2
"13","Tully","Frey",2
"14","Arryn","Lannister",2
"15","Arryn","Baelish",1
"16","Lannister","Tyrell",1
"17","Lannister","Martell",2
"18","Lannister","Baelish",2
"19","Lannister","Frey",1
"20","Lannister","Bolton",2
"21","Lannister","Iron Bank",2
"22","Lannister","the Sparrows",2
"23","Tyrell","Baelish",1
"24","Tyrell","the Sparrows",2
"25","Baelish","Bolton",2
"26","Frey","Bolton",1
