"","V1","V2","type"
"1","The Nights Watch","Laddy Melisandre",1
"2","Stark","Greyjoy",2
"3","Stark","Tully",1
"4","Stark","Arryn",1
"5","Stark","Lannister",2
"6","Stark","Baelish",1
"7","Stark","Frey",2
"8","Stark","Bolton",2
"9","Greyjoy","Bolton",2
"10","Tully","Lannister",2
"11","Tully","Frey",1
"12","Arryn","Lannister",2
"13","Arryn","Baelish",1
"14","Lannister","Tyrell",2
"15","Lannister","Martell",1
"16","Lannister","Baelish",2
"17","Lannister","Frey",1
"18","Lannister","Bolton",2
"19","Lannister","Iron Bank",2
"20","Lannister","the Sparrows",2
"21","Tyrell","Baelish",1
"22","Tyrell","the Sparrows",2
"23","Baelish","Bolton",2
"24","Frey","Bolton",1
