"","V1","V2","type"
"1","The Nights Watch","Stark",1
"2","Stark","Greyjoy",2
"3","Stark","Arryn",1
"4","Stark","Lannister",2
"5","Stark","Baelish",1
"6","Stark","Laddy Melisandre",1
"7","Stark","Frey",2
"8","Greyjoy","Yara and Theon",2
"9","Tully","Lannister",1
"10","Tully","Frey",1
"11","Arryn","Lannister",2
"12","Arryn","Baelish",1
"13","Lannister","Tyrell",1
"14","Lannister","Martell",2
"15","Lannister","Targaryen",1
"16","Lannister","Baelish",2
"17","Lannister","Frey",1
"18","Lannister","Iron Bank",2
"19","Lannister","the Sparrows",2
"20","Lannister","Yara and Theon",2
"21","Tyrell","Baelish",1
"22","Tyrell","the Sparrows",2
"23","Targaryen","Yara and Theon",1
