"","V1","V2","type"
"1","Stark","Greyjoy",2
"2","Stark","Tully",1
"3","Stark","Arryn",1
"4","Stark","Lannister",2
"5","Stark","Tyrell",1
"6","Stark","Baelish",1
"7","Stark","Stannis",2
"8","Stark","Frey",2
"9","Stark","Bolton",2
"10","Greyjoy","Stannis",2
"11","Greyjoy","Bolton",2
"12","Tully","Lannister",2
"13","Tully","Frey",1
"14","Arryn","Lannister",1
"15","Arryn","Baelish",1
"16","Lannister","Tyrell",1
"17","Lannister","Martell",1
"18","Lannister","Baelish",1
"19","Lannister","Stannis",2
"20","Lannister","Frey",2
"21","Lannister","Bolton",1
"22","Tyrell","Stannis",2
"23","Frey","Bolton",1
